channel,type,date,time,content,image_paths
facebook,post,2026-06-24,09:00,"4 specialists. 5 diagnoses. 'Your labs are normal.'

In April 2026 I finally got real data: craniocervical instability at C1-C2. Suspected hypermobile EDS. MCAS-type mast cell activation.

These 5 biomarkers are what actually tracked my recovery:
1. Morning HRV (Heart Rate Variability)
2. TyTron paraspinal thermal scan
3. Tryptase + urine MCAS mediators
4. ESR + CRP + symptoms tracking
5. Vitamin D + magnesium status

The framework that forced the data — yours and mine.

#ChronicIllness #Autoimmune #Biomarkers #FunctionalMedicine #ProofOverHype

→ Full PDF: https://doseofproof.substack.com/?utm_source=facebook&utm_medium=social&utm_campaign=pre_launch&utm_content=post_1_origin_story_adapted",
instagram,post,2026-06-24,12:00,"[9-slide carousel — same as LinkedIn but Instagram-formatted]

Slide 1: The 5 Biomarkers That Actually Moved the Needle in My CCI + MCAS Recovery
Slide 2: 4 specialists. 5 diagnoses. 'Your labs are normal.'
Slide 3-7: Each biomarker (HRV / TyTron / Tryptase / ESR-CRP / Vit D-Mg)
Slide 8: The PCAC Framework
Slide 9: Free PDF link

Caption: Same as LinkedIn Post 1 but Instagram-voice. #ChronicIllness #Autoimmune #Biomarkers

→ https://doseofproof.substack.com/?utm_source=instagram&utm_medium=social&utm_campaign=pre_launch&utm_content=carousel_1_5biomarkers_ig",/Users/brassfieldventuresllc/MiniMax-Agent/03 Projects/Dose of Proof/assets/visual/carousel-1-5biomarkers/slide-01-cover.png|/Users/brassfieldventuresllc/MiniMax-Agent/03 Projects/Dose of Proof/assets/visual/carousel-1-5biomarkers/slide-02-quote.png|/Users/brassfieldventuresllc/MiniMax-Agent/03 Projects/Dose of Proof/assets/visual/carousel-1-5biomarkers/slide-03-hrv.png|/Users/brassfieldventuresllc/MiniMax-Agent/03 Projects/Dose of Proof/assets/visual/carousel-1-5biomarkers/slide-04-tytron.png|/Users/brassfieldventuresllc/MiniMax-Agent/03 Projects/Dose of Proof/assets/visual/carousel-1-5biomarkers/slide-05-tryptase.png|/Users/brassfieldventuresllc/MiniMax-Agent/03 Projects/Dose of Proof/assets/visual/carousel-1-5biomarkers/slide-06-esrcrp.png|/Users/brassfieldventuresllc/MiniMax-Agent/03 Projects/Dose of Proof/assets/visual/carousel-1-5biomarkers/slide-07-vitdmg.png|/Users/brassfieldventuresllc/MiniMax-Agent/03 Projects/Dose of Proof/assets/visual/carousel-1-5biomarkers/slide-08-pcac.png|/Users/brassfieldventuresllc/MiniMax-Agent/03 Projects/Dose of Proof/assets/visual/carousel-1-5biomarkers/slide-09-cta.png
pinterest,post,2026-06-24,15:00,"Pin title: The 5 Biomarkers That Actually Moved the Needle in My CCI + MCAS Recovery

Pin description: A framework I built because Symptom Whack-a-Mole wasn't working. 4 specialists. 5 diagnoses. 'Your labs are normal.' In April 2026 I finally got real data. These 5 biomarkers are what actually tracked my recovery.

→ https://doseofproof.substack.com/?utm_source=pinterest&utm_medium=social&utm_campaign=pre_launch&utm_content=pin_1_5biomarkers

#ChronicIllness #Autoimmune #Biomarkers",/Users/brassfieldventuresllc/MiniMax-Agent/03 Projects/Dose of Proof/assets/visual/pin-1-5biomarkers/pin-1-5biomarkers.png
tiktok,post,2026-06-25,08:30,"[Video script — Day 1 micro-iteration, vertical video format]

HOOK (first 3 seconds):
'Day 1 of the brand launch tracking log.'

DATA POINTS (next 15 seconds):
'Morning HRV: 53 (was 32). Guarding score: 4/10 (was 8-9). Sleep continuity: 6.5 hours (was 3-4). Mental clarity: 7/10 (was 3/10).'

FRAMEWORK ANCHOR (next 10 seconds):
'The numbers move. They don't arrive at a finish line. I'm still in this process.'

CTA (last 5 seconds):
'Full framework + my data at the link in bio.'

#biomarkers #autoimmune #chronicillness #proofoverhype",
youtube,post,2026-06-25,17:00,"[YouTube Short — same script as TikTok, 9:16 vertical]

Title: Day 1 of the brand launch tracking log — 5 biomarkers that actually moved

Description: The numbers move. They don't arrive at a finish line. I'm still in this process. Full framework + my data: https://doseofproof.substack.com/?utm_source=youtube&utm_medium=social&utm_campaign=pre_launch&utm_content=short_1_tracking_log

#Shorts #biomarkers #chronicillness",
facebook,post,2026-06-26,09:00,"I have craniocervical instability at C1-C2. Suspected hypermobile EDS. MCAS-type mast cell activation.

For 7 months I lived in a vicious loop:
Unstable neck → vagus irritation → mast cells firing → more inflammation and guarding → more instability.

4 specialists. None of them saw the loop. Each one treated one symptom.

I built the framework I needed. I call it PCAC — Proof-Centered Approach to Craniocervical + Autoimmune Chaos.

Show me the data. Show me the before and after. Prove it's working or change the approach.

#ProofOverHype #Biomarkers #PCACFramework

→ https://doseofproof.substack.com/?utm_source=facebook&utm_medium=social&utm_campaign=pre_launch&utm_content=post_2_pcac_framework_adapted",
instagram,post,2026-06-27,12:00,"[Carousel — PCAC framework visual breakdown]

Slide 1: I built the framework I needed. Here's what it is.
Slide 2: The vicious loop (unstable neck → vagus → mast cells → inflammation → guarding → back to instability)
Slide 3: 4 rules of PCAC
Slide 4: Map the terrain, not just the symptoms
Slide 5: Prove it works or change the approach
Slide 6: Treat the upstream, not the downstream
Slide 7: Stay proof-centered, never prescriptive
Slide 8: The framework works regardless of regulatory outcomes
Slide 9: Free framework PDF

Caption: PCAC = Proof-Centered Approach to Craniocervical + Autoimmune Chaos. It's not a protocol you buy in a box. It's a way of thinking. Show me the data.

#PCACFramework #Biomarkers #ProofOverHype

→ https://doseofproof.substack.com/?utm_source=instagram&utm_medium=social&utm_campaign=pre_launch&utm_content=carousel_2_pcac_framework",/Users/brassfieldventuresllc/MiniMax-Agent/03 Projects/Dose of Proof/assets/visual/carousel-2-pcac-framework/slides/slide-01-cover.png|/Users/brassfieldventuresllc/MiniMax-Agent/03 Projects/Dose of Proof/assets/visual/carousel-2-pcac-framework/slides/slide-02-quote.png|/Users/brassfieldventuresllc/MiniMax-Agent/03 Projects/Dose of Proof/assets/visual/carousel-2-pcac-framework/slides/slide-03-loop.png|/Users/brassfieldventuresllc/MiniMax-Agent/03 Projects/Dose of Proof/assets/visual/carousel-2-pcac-framework/slides/slide-04-rule1.png|/Users/brassfieldventuresllc/MiniMax-Agent/03 Projects/Dose of Proof/assets/visual/carousel-2-pcac-framework/slides/slide-05-rules234.png|/Users/brassfieldventuresllc/MiniMax-Agent/03 Projects/Dose of Proof/assets/visual/carousel-2-pcac-framework/slides/slide-06-not.png|/Users/brassfieldventuresllc/MiniMax-Agent/03 Projects/Dose of Proof/assets/visual/carousel-2-pcac-framework/slides/slide-07-tracking.png|/Users/brassfieldventuresllc/MiniMax-Agent/03 Projects/Dose of Proof/assets/visual/carousel-2-pcac-framework/slides/slide-08-stillinprocess.png|/Users/brassfieldventuresllc/MiniMax-Agent/03 Projects/Dose of Proof/assets/visual/carousel-2-pcac-framework/slides/slide-09-cta.png
tiktok,post,2026-06-27,15:00,"[Video script — Symptom Whack-a-Mole reframe]

HOOK (first 3 seconds):
'Most people with chronic symptoms are stuck in what I call Symptom Whack-a-Mole.'

PROBLEM (next 15 seconds):
'4 specialists. None of them saw the loop. Each one treated one symptom. The allergist treated the histamine. The rheumatologist treated the inflammation. The psychiatrist treated the anxiety. Nobody connected the dots.'

SOLUTION (next 10 seconds):
'PCAC framework: map the terrain, treat the upstream, prove it works or change the approach.'

CTA:
'Framework + 5 biomarkers PDF in bio.'

#ChronicIllness #SymptomWhackAMole #PCAC #ProofOverHype",
facebook,post,2026-06-28,11:00,"7 months ago I couldn't get out of bed.

The flushing was constant. Heat so bad I couldn't be in normal rooms. A 'skin stuck' feeling where my fascia wouldn't let go.

4 specialists. 5 diagnoses. 'Your labs are normal.' I was disappearing from my own life.

Then I got real data: X-rays showed craniocervical instability at C1-C2. TyTron scans showed autonomic nerve interference.

The numbers move. They don't arrive at a finish line.

I'm still in this process.

→ https://doseofproof.substack.com/?utm_source=facebook&utm_medium=social&utm_campaign=pre_launch&utm_content=post_3_origin_story_adapted",
youtube,post,2026-06-28,16:00,"[YT Short — origin story compressed]

Title: 7 months ago I couldn't get out of bed. Here's what changed.

Description: The flushing. The 'skin stuck' feeling. The 4 specialists. The 5 diagnoses. 'Your labs are normal.' Then I got real data. The numbers move. They don't arrive at a finish line.

→ https://doseofproof.substack.com/?utm_source=youtube&utm_medium=social&utm_campaign=pre_launch&utm_content=short_2_origin_story

#Shorts #ChronicIllness #OriginStory",
