date,time,platform,content_type,content,media_notes,link,tags,notes
2026-06-24,09:00,facebook,text,"4 specialists. 5 diagnoses. 'Your labs are normal.'

In April 2026 I finally got real data: craniocervical instability at C1-C2. Suspected hypermobile EDS. MCAS-type mast cell activation.

These 5 biomarkers are what actually tracked my recovery:
1. Morning HRV (Heart Rate Variability)
2. TyTron paraspinal thermal scan
3. Tryptase + urine MCAS mediators
4. ESR + CRP + symptoms tracking
5. Vitamin D + magnesium status

The framework that forced the data — yours and mine.

#ChronicIllness #Autoimmune #Biomarkers #FunctionalMedicine #ProofOverHype

→ Full PDF: https://doseofproof.substack.com/?utm_source=facebook&utm_medium=social&utm_campaign=pre_launch&utm_content=post_1_origin_story_adapted",,,pre_launch,lived_protocol,"FB text post, can publish as-is. Optional: pair with TyTron scan image (Dre's own)."
2026-06-24,12:00,instagram,carousel,"[9-slide carousel — same as LinkedIn but Instagram-formatted]

Slide 1: The 5 Biomarkers That Actually Moved the Needle in My CCI + MCAS Recovery
Slide 2: 4 specialists. 5 diagnoses. 'Your labs are normal.'
Slide 3-7: Each biomarker (HRV / TyTron / Tryptase / ESR-CRP / Vit D-Mg)
Slide 8: The PCAC Framework
Slide 9: Free PDF link

Caption: Same as LinkedIn Post 1 but Instagram-voice. #ChronicIllness #Autoimmune #Biomarkers

→ https://doseofproof.substack.com/?utm_source=instagram&utm_medium=social&utm_campaign=pre_launch&utm_content=carousel_1_5biomarkers_ig","⚠️ REQUIRES: 9 slide images (1080x1080 or 1080x1350). Use the LinkedIn Carousel 1 design source (assets/social/linkedin-carousel-5-biomarkers.md) as template. Mavis generates via design tool or render Mermaid diagrams (assets/visual/pcac-supporting-visuals.md). Cannot publish without visuals.",https://doseofproof.substack.com/?utm_source=instagram&utm_medium=social&utm_campaign=pre_launch&utm_content=carousel_1_5biomarkers_ig,pre_launch,lived_protocol,"IG carousel requires 9 slide images. Visuals must be created first. Push blocked until assets exist."
2026-06-24,15:00,pinterest,pin,"Pin title: The 5 Biomarkers That Actually Moved the Needle in My CCI + MCAS Recovery

Pin description: A framework I built because Symptom Whack-a-Mole wasn't working. 4 specialists. 5 diagnoses. 'Your labs are normal.' In April 2026 I finally got real data. These 5 biomarkers are what actually tracked my recovery.

→ https://doseofproof.substack.com/?utm_source=pinterest&utm_medium=social&utm_campaign=pre_launch&utm_content=pin_1_5biomarkers

#ChronicIllness #Autoimmune #Biomarkers","⚠️ REQUIRES: Single tall image (1000x1500 or 2:3 ratio). Use a screenshot of Thread 1 / LinkedIn Post 1 / a custom biomarker infographic. Cannot publish without visual.",https://doseofproof.substack.com/?utm_source=pinterest&utm_medium=social&utm_campaign=pre_launch&utm_content=pin_1_5biomarkers,pre_launch,lived_protocol,"Pinterest requires single tall image. Mavis can generate via diagram tools."
2026-06-25,08:30,tiktok,video,"[Video script — Day 1 micro-iteration, vertical video format]

HOOK (first 3 seconds):
'Day 1 of the brand launch tracking log.'

DATA POINTS (next 15 seconds):
'Morning HRV: 53 (was 32). Guarding score: 4/10 (was 8-9). Sleep continuity: 6.5 hours (was 3-4). Mental clarity: 7/10 (was 3/10).'

FRAMEWORK ANCHOR (next 10 seconds):
'The numbers move. They don't arrive at a finish line. I'm still in this process.'

CTA (last 5 seconds):
'Full framework + my data at the link in bio.'

#biomarkers #autoimmune #chronicillness #proofoverhype","⚠️ REQUIRES: 30-second vertical video (9:16 ratio). On-screen text overlay for each data point. Dre's voice or AI voiceover. Cannot publish without video asset.",https://doseofproof.substack.com/?utm_source=tiktok&utm_medium=social&utm_campaign=pre_launch&utm_content=video_1_tracking_log,pre_launch,lived_protocol,"TikTok requires 9:16 vertical video. Visual-first. Mavis can produce script; Dre or video tool generates asset."
2026-06-25,17:00,youtube,short,"[YouTube Short — same script as TikTok, 9:16 vertical]

Title: Day 1 of the brand launch tracking log — 5 biomarkers that actually moved

Description: The numbers move. They don't arrive at a finish line. I'm still in this process. Full framework + my data: https://doseofproof.substack.com/?utm_source=youtube&utm_medium=social&utm_campaign=pre_launch&utm_content=short_1_tracking_log

#Shorts #biomarkers #chronicillness","⚠️ REQUIRES: 30-60 second vertical video (9:16 ratio). Same asset as TikTok can be reused if uploaded to both platforms.",https://doseofproof.substack.com/?utm_source=youtube&utm_medium=social&utm_campaign=pre_launch&utm_content=short_1_tracking_log,pre_launch,lived_protocol,"YT Shorts uses same vertical video as TikTok. Mavis produces script; Dre or video tool generates asset."
2026-06-26,09:00,facebook,text,"I have craniocervical instability at C1-C2. Suspected hypermobile EDS. MCAS-type mast cell activation.

For 7 months I lived in a vicious loop:
Unstable neck → vagus irritation → mast cells firing → more inflammation and guarding → more instability.

4 specialists. None of them saw the loop. Each one treated one symptom.

I built the framework I needed. I call it PCAC — Proof-Centered Approach to Craniocervical + Autoimmune Chaos.

Show me the data. Show me the before and after. Prove it's working or change the approach.

#ProofOverHype #Biomarkers #PCACFramework

→ https://doseofproof.substack.com/?utm_source=facebook&utm_medium=social&utm_campaign=pre_launch&utm_content=post_2_pcac_framework_adapted",,,pre_launch,lived_protocol,"FB text post, publish as-is. Voice adapted for FB audience (longer-form works on FB vs X)."
2026-06-27,12:00,instagram,carousel,"[Carousel — PCAC framework visual breakdown]

Slide 1: I built the framework I needed. Here's what it is.
Slide 2: The vicious loop (unstable neck → vagus → mast cells → inflammation → guarding → back to instability)
Slide 3: 4 rules of PCAC
Slide 4: Map the terrain, not just the symptoms
Slide 5: Prove it works or change the approach
Slide 6: Treat the upstream, not the downstream
Slide 7: Stay proof-centered, never prescriptive
Slide 8: The framework works regardless of regulatory outcomes
Slide 9: Free framework PDF

Caption: PCAC = Proof-Centered Approach to Craniocervical + Autoimmune Chaos. It's not a protocol you buy in a box. It's a way of thinking. Show me the data.

#PCACFramework #Biomarkers #ProofOverHype

→ https://doseofproof.substack.com/?utm_source=instagram&utm_medium=social&utm_campaign=pre_launch&utm_content=carousel_2_pcac_framework","⚠️ REQUIRES: 9 slide images. Use the Mermaid PCAC framework diagram (assets/visual/pcac-supporting-visuals.md Diagram 4) as slide 4. Generate other slides via design tool or Mavis.",https://doseofproof.substack.com/?utm_source=instagram&utm_medium=social&utm_campaign=pre_launch&utm_content=carousel_2_pcac_framework,pre_launch,lived_protocol,"IG carousel — PCAC framework visual. Uses Diagram 4 from pcac-supporting-visuals.md."
2026-06-27,15:00,tiktok,video,"[Video script — Symptom Whack-a-Mole reframe]

HOOK (first 3 seconds):
'Most people with chronic symptoms are stuck in what I call Symptom Whack-a-Mole.'

PROBLEM (next 15 seconds):
'4 specialists. None of them saw the loop. Each one treated one symptom. The allergist treated the histamine. The rheumatologist treated the inflammation. The psychiatrist treated the anxiety. Nobody connected the dots.'

SOLUTION (next 10 seconds):
'PCAC framework: map the terrain, treat the upstream, prove it works or change the approach.'

CTA:
'Framework + 5 biomarkers PDF in bio.'

#ChronicIllness #SymptomWhackAMole #PCAC #ProofOverHype","⚠️ REQUIRES: 30-second vertical video. On-screen text overlay. Dre voiceover or AI. Could be built from existing X thread 2 content.",https://doseofproof.substack.com/?utm_source=tiktok&utm_medium=social&utm_campaign=pre_launch&utm_content=video_2_symptom_whack_a_mole,pre_launch,lived_protocol,"TikTok video from X Thread 2 content. Visual-first adaptation."
2026-06-28,11:00,facebook,text,"7 months ago I couldn't get out of bed.

The flushing was constant. Heat so bad I couldn't be in normal rooms. A 'skin stuck' feeling where my fascia wouldn't let go.

4 specialists. 5 diagnoses. 'Your labs are normal.' I was disappearing from my own life.

Then I got real data: X-rays showed craniocervical instability at C1-C2. TyTron scans showed autonomic nerve interference.

The numbers move. They don't arrive at a finish line.

I'm still in this process.

→ https://doseofproof.substack.com/?utm_source=facebook&utm_medium=social&utm_campaign=pre_launch&utm_content=post_3_origin_story_adapted","⚠️ OPTIONAL: Pair with X-ray or TyTron scan image (Dre's own, anonymized).","",pre_launch,lived_protocol,"FB text post. Optional TyTron scan image strengthens the proof angle."
2026-06-28,16:00,youtube,short,"[YT Short — origin story compressed]

Title: 7 months ago I couldn't get out of bed. Here's what changed.

Description: The flushing. The 'skin stuck' feeling. The 4 specialists. The 5 diagnoses. 'Your labs are normal.' Then I got real data. The numbers move. They don't arrive at a finish line.

→ https://doseofproof.substack.com/?utm_source=youtube&utm_medium=social&utm_campaign=pre_launch&utm_content=short_2_origin_story

#Shorts #ChronicIllness #OriginStory","⚠️ REQUIRES: 30-60 second vertical video. Can be repurposed from the same asset as Thread 3 or LinkedIn Post 1.",https://doseofproof.substack.com/?utm_source=youtube&utm_medium=social&utm_campaign=pre_launch&utm_content=short_2_origin_story,pre_launch,lived_protocol,"YT Short from origin story content. Visual-first adaptation."
