"date","time","channel","type","content","media","link","tags","folder","asset_source","notes"
"2026-06-27","09:00","x","thread","The first trap that turns a ""research only"" label into a federal target is hiding in plain sight at checkout.

It's not the compound. It's what you put next to it.

🧵 A thread on kitting, cross-selling, and the FDA's Objective Intent Doctrine:

---

The FDA does not need your marketing copy to convict you.

Under 21 CFR 201.128, ""intended use"" is established by the objective characteristics of the product itself — not by the disclaimer you wrote at the bottom of the page.

A ""research only"" label is one data point. The FDA weighs all of them.

---

Specific example.

Listing BPC-157 or TB-500 on the same product page or cart as:
— bacteriostatic water
— insulin syringes
— 29–31 gauge injection supplies

…is treated as evidence of intended subcutaneous delivery to humans.

The ""research only"" sticker doesn't override what the cart shows.

---

This isn't theoretical.

In March 2023 the FDA issued a Warning Letter to Grand Health Inc. (doing business as ""Gram Peptides"") for selling tirzepatide and retatrutide alongside bacteriostatic water and related supplies.

The agency cited the integrated offering as proof of intended human use.

---

The Warning Letter is public. Anyone can read it.

What the FDA actually wrote: when the product is sold as part of a kit that includes reconstitution supplies, the whole offering is treated as an unapproved new drug — not as a research reagent.

Disclaimers were present on the site. They did not protect the company.

---

This is the trap.

Most creators think: ""I added 'not for human use' — I'm covered.""

The FDA reads: kitting + supplies + therapeutic keywords + pricing in human-relevant units = intended use.

The label is one input. The whole operation is the evidence.

---

""My body, not yours"" bridge:

When my own terrain was destroyed, the only path I trusted was board-certified physicians and 503A compounding pharmacies.

That separation isn't optional. It's the difference between a research supply shop and an unapproved new drug operation in the FDA's eyes.

---

Tomorrow: Trap 2 — SEO, metadata, and the hidden digital footprint the FDA actually crawls.

Alt text. URL slugs. Schema. The backend signals most creators never think to audit.

Full regulatory map + how to stay clean → https://doseofproof.substack.com/","","https://doseofproof.substack.com/","pre_launch,pcac,regulatory,trap,objective_intent,21cfr201_128","pcac_series","✅ FINAL — 03 Projects/Dose of Proof/assets/social/4-traps/trap-1-kitting.md","PCAC Traps series — Trap 1 (4 of 4). First trap in regulatory mechanics education."
"2026-06-28","09:00","x","thread","You can keep your public copy technically perfect and still get hit — because the FDA reads your backend.

The trap most creators never think to audit:

🧵 SEO, metadata, alt text, URL slugs, schema. The signals the FDA actually crawls:

---

Disclaimers live on the page you wrote.

The FDA reads: alt text on your product images. URL slugs on your blog posts. Schema markup behind the scenes. Meta descriptions that auto-populate when someone shares your link.

The ""research only"" copy on your homepage is one input. The backend is the rest.

---

Concrete examples the agency treats as evidence of intended use:

— Bidding on or ranking for ""BPC-157 for gut healing""
— URL slug: /peptides-for-anxiety/
— Alt text on a vial image: ""BPC-157 injection for connective tissue repair""
— Meta description: ""Compounded BPC-157 for tendon recovery.""

These are the signals regulators crawl first.

---

Schema is the easy miss.

If your product page emits `Product` schema with claims like ""treatment for X,"" ""effective for Y,"" or therapeutic keywords in the description field — search engines and regulators both see that.

The JSON-LD sits in your source. It's not a hidden field. It's public.

---

This is why ""we never claimed it was for humans"" stops working the moment your SEO or schema does.

The Objective Intent Doctrine (21 CFR 201.128) weighs the whole operation. The FDA doesn't accept ""our developer made a typo"" as a defense for a /peptides-for-anxiety slug.

---

Audit yourself before someone else does.

Three checks you can run today:
1. Pull every image alt text on product pages.
2. Grep your URL slugs for therapeutic keywords.
3. View source on product pages and read the JSON-LD.

Anything that reads as a clinical claim is a future warning letter.

---

""My body, not yours"" close:

The reason I built this brand on proof over claims is exactly this. The data layer — biomarkers, scans, my own symptom log — survives any audit.

What I track in my own body is mine to publish. What I claim a compound does in yours is a federal case waiting to happen.

---

Tomorrow: Trap 3 — Un-redacted testimonials and user-generated claims. How one comment can become corporate labeling under Section 505(a).

Full regulatory map → https://doseofproof.substack.com/","","https://doseofproof.substack.com/","pre_launch,pcac,regulatory,trap,objective_intent,seo_metadata","pcac_series","✅ FINAL — 03 Projects/Dose of Proof/assets/social/4-traps/trap-2-seo.md","PCAC Traps series — Trap 2 (4 of 4). Backend signals regulators crawl."
"2026-06-29","09:00","x","thread","One comment can turn your entire page into misbranded drug labeling under Section 505(a).

The third trap most modern creators walk into blind:

🧵 Un-redacted testimonials, community claims, and why hosting adopts them as yours:

---

Section 505(a) defines a misbranded drug in part by its labeling.

""Labeling"" isn't just the bottle. It's every statement that accompanies the product — website copy, ads, AND content you host or feature.

If a comment claims ""[compound] healed my [condition]"" and you leave it up, the FDA can treat that as your labeling.

---

This applies even when:
— the comment is in a private community you moderate
— the testimonial is on a third-party review site you link to
— the user wrote it without you asking
— you put a ""results not typical"" disclaimer above the comments section

Hosting adopts.

---

The practical rule:

Delete. Or heavily qualify.

""Delete"" means remove the comment, screenshot it for your records, and document why you deleted it.

""Heavily qualify"" means visibly mark it as third-party experience, not your product's claim — and even then, the FDA can still push back.

---

There is no middle ground of ""well they wrote it, not me.""

The FDA's framing: you built the venue. You curate the venue. You profit from the venue. The user-generated content in your venue is part of your labeling.

The legal exposure flows to you.

---

This is why I rebuilt the Dose of Proof site last week.

Every ""verified member"" testimonial that named a specific compound or claimed a specific outcome got deleted or rewritten. The product data that mentioned ""sourcing links"" or ""exact dosing protocols"" got reframed to research education only.

The model has to match the message.

---

""My body, not yours"" close:

This is the rule that keeps me clean: every story I tell is mine.

My HRV. My TyTron scans. My flushing episodes. My own data, from my own body, in my own words.

The moment you start extrapolating other people's outcomes to a compound, you are no longer telling a story. You are making a claim.

---

Tomorrow: Trap 4 — The single ecosystem problem. The private community. The integrated storefront. Why the line between education and sales isn't where creators think it is.

Full regulatory map → https://doseofproof.substack.com/","","https://doseofproof.substack.com/","pre_launch,pcac,regulatory,trap,section_505a,testimonial_adoption","pcac_series","✅ FINAL — 03 Projects/Dose of Proof/assets/social/4-traps/trap-3-testimonials.md","PCAC Traps series — Trap 3 (4 of 4). Section 505(a) testimonial adoption."
"2026-06-30","09:00","x","thread","The fourth trap is the one most modern creators walk into with their eyes open.

It's not a single product page. It's the architecture around it.

🧵 Why ""education"" + ""community"" + ""storefront"" in the same ecosystem is the pattern the FDA reads as a single drug operation:

---

Setup:

You run a Substack or YouTube channel about peptides. Educational. Compliant language. Top of funnel.

You run a Skool or Discord community. Members discuss dosing, sourcing, side effects.

You link the community from your content. Members know where to buy.

You don't sell anything yourself. You don't link your storefront.

That still reads as integrated.

---

The FDA's framing:

— Educational content that drives traffic to a community
— Community that hosts dosing discussion + sourcing referrals
— Operator that profits from the community (paid tier, affiliate revenue, brand deals)

= A single integrated marketing operation for an unapproved drug.

---

Moderation isn't the defense it sounds like.

Removing a single dosing thread after-the-fact doesn't undo the ecosystem pattern. The agency weighs:
— how the community is positioned
— what topics recur
— whether operators curate or just remove the worst offenders
— whether the operator profits from the community's existence

---

The architecture of the trap:

Education (top of funnel) → Community (engagement + retention) → Affiliate or storefront (monetization)

This is the standard creator economy stack. It is also the exact pattern the FDA reads as integrated marketing of an unapproved new drug when the topic is research-restricted compounds.

---

The separation rule:

The brand operator's money and the brand operator's editorial content must be clearly separated from any dosing, sourcing, or efficacy discussion.

That means: no community you operate. No Discord you moderate. No Skool with paid tiers where dosing is discussed. No affiliate link to a vendor inside the same ecosystem as your educational content.

Or it means: very strict separation, with legal review.

---

This is the architectural reason Dose of Proof has no integrated community. Yet.

The plan: Skool launches AFTER the July 23-24 PCAC decision window, with explicit topic boundaries (no dosing discussion in the community; physician-only dosing conversations happen elsewhere). Until then, the only community surface is the Substack comment thread — moderated, single-layer, no paid tier.

Architecture before content. Always.

---

""My body, not yours"" + series close:

These four traps are why I built Dose of Proof as a proof-centered educational bridge only.

Not because education is safe. Education on regulated compounds is only safe if the architecture around it stays separate from the money.

I'm still in this process. The map is mine. The data is mine. The decisions — and the legal exposure — belong to the operator, not the audience.

---

Series close + hard CTA:

The full regulatory map — the 4 traps compiled, the FDA primary sources, the compliant access pathways (Marek Health, Lifeforce, board-certified physicians, 503A compounding) — is on Substack. Free.

Next week: peptide-by-peptide. What the July 23-24 PCAC actually evaluates. The exact docket language. What changes — and what doesn't.

→ https://doseofproof.substack.com/","","https://doseofproof.substack.com/","pre_launch,pcac,regulatory,trap,ecosystem_integration","pcac_series","✅ FINAL — 03 Projects/Dose of Proof/assets/social/4-traps/trap-4-community.md","PCAC Traps series — Trap 4 (4 of 4). Single ecosystem problem. Series close."
"2026-07-01","09:00","x","thread","On July 23 the FDA's Pharmacy Compounding Advisory Committee evaluates BPC-157 — free base and acetate forms — specifically for the ulcerative colitis indication.

Most of what you'll read this month is noise. Here's the actual regulatory record:

🧵 BPC-157 going into the July 23 PCAC:

---

Background.

BPC-157 is a 15-amino-acid synthetic peptide derived from human gastric juice. It has been studied in animal models for angiogenic, regenerative, and anti-inflammatory effects.

It is NOT an FDA-approved drug for any indication. It is not in Category 1 (which would permit compounding). It has been a Category 2 bulk substance since 2023.

---

What Category 2 actually means:

— Cannot be used as a bulk substance in compounding under Section 503A
— ""Significant safety risks"" — the FDA's language
— Specifically cited for BPC-157: immunogenicity risk + insufficient API characterization + impurity profile unclear

These are manufacturing + safety concerns, not efficacy findings.

---

In April 2026 the FDA REMOVED BPC-157 from the Category 2 list.

That's a meaningful procedural change. It doesn't approve the compound. It opens the door for the PCAC to formally evaluate it for inclusion on the 503A Bulks List.

The July 23 meeting is that evaluation.

---

What the committee actually does on July 23:

The PCAC reviews clinical and safety data for nominated bulk substances and votes on whether to recommend inclusion on the 503A Bulks List.

A ""yes"" vote is a recommendation. It is NOT a final FDA decision. The FDA then considers the recommendation and issues its own determination — sometimes months later.

---

What a positive recommendation would change:

— State-licensed 503A compounding pharmacies could theoretically prepare BPC-157 formulations for individual patients with valid prescriptions
— Physicians could prescribe it within the compounding pathway
— Telehealth platforms partnered with 503A pharmacies (Marek Health, Lifeforce) could offer it under physician oversight

This is physician-supervised only. Not direct-to-consumer.

---

What a positive recommendation would NOT change:

— BPC-157 would still not be FDA-approved for any indication
— Manufacturers could not sell it direct-to-consumer
— ""Research only"" marketing that names human therapeutic uses would still violate 21 CFR 201.128
— Sourcing from gray-market vendors would still be illegal

The map changes the legal pathway. It does not change the underlying architecture.

---

""My body, not yours"" close:

When my own gut was wrecked from mold exposure, I did not self-experiment with raw powders. I went through board-certified physicians, asked about 503A compounding eligibility, and only considered peptides that had a defensible regulatory pathway.

That is the only path I will ever map here.

---

Tomorrow: KPV — also on the July 23 docket, but for wound healing and inflammatory conditions.

Full regulatory tracker — every compound on the July 23-24 PCAC agenda, the docket language, what changes if the vote goes each way — is on Substack. Free.

→ https://doseofproof.substack.com/","","https://doseofproof.substack.com/","pre_launch,pcac,peptide,bpc157,ulcerative_colitis,503a_bulks_list","pcac_series","✅ FINAL — 03 Projects/Dose of Proof/assets/social/pcac-peptides/2026-07-01-bpc-157.md","PCAC peptide series — BPC-157 (1 of 7). July 23 docket — ulcerative colitis indication."
"2026-07-02","09:00","x","thread","July 23 also covers KPV — a tripeptide (Lysine-Proline-Valine) — for wound healing and inflammatory conditions.

Same docket day as BPC-157. Same procedural framework. Different compound, different indication, different mechanism.

🧵 KPV going into the PCAC:

---

Background.

KPV is a short tripeptide fragment of alpha-melanocyte-stimulating hormone (α-MSH). It has been studied for anti-inflammatory effects, primarily in murine models of inflammatory bowel disease.

The mechanism is well-characterized in animal literature. Human data is limited.

---

Regulatory state going in:

Like BPC-157, KPV was on the Category 2 bulk substances list and was removed in April 2026.

The Category 2 placement cited ""significant safety risks"" + insufficient characterization for human use — manufacturing and safety concerns, not efficacy findings.

---

What's actually being evaluated July 23:

The PCAC will review available data on KPV for wound healing and inflammatory conditions and vote on whether to recommend inclusion on the 503A Bulks List.

This is a procedural evaluation, not an approval hearing.

---

The non-binding nature matters here.

A PCAC ""yes"" is a recommendation. The FDA weighs it, may accept or reject it, and issues its own determination on 503A Bulks List inclusion.

If the FDA follows a positive recommendation, state-licensed 503A pharmacies could compound KPV under physician prescription. Nothing more.

---

What this would and would not change:

Would change: legal pathway for physician-supervised access via compounding pharmacies.

Would NOT change: FDA-approval status (still unapproved for any indication), direct-to-consumer legality (still illegal), gray-market sourcing (still illegal), and ""research only"" labeling that names human therapeutic uses (still misbranding under 21 CFR 201.128).

---

""My body, not yours"" close:

Inflammatory conditions are real and serious. The mechanisms KPV touches are well-described in the literature. None of that changes the legal architecture around access.

Physician-supervised, compounded, prescribed. That sequence exists for a reason. Skipping any step puts the entire operation in the FDA's enforcement lane.

---

Tomorrow: TB-500 — same July 23 docket, wound healing indication, the pattern of ""non-binding recommendation + physician-only pathway"" repeats.

Full regulatory tracker on Substack → https://doseofproof.substack.com/","","https://doseofproof.substack.com/","pre_launch,pcac,peptide,kpv,wound_healing,503a_bulks_list","pcac_series","✅ FINAL — 03 Projects/Dose of Proof/assets/social/pcac-peptides/2026-07-02-kpv.md","PCAC peptide series — KPV (2 of 7). July 23 docket — wound healing + inflammatory conditions."
"2026-07-03","09:00","x","thread","TB-500 (Thymosin Beta-4, free base and acetate forms) is also on the July 23 PCAC docket — wound healing indication.

Same procedural day as BPC-157 and KPV. The pattern is the thing to watch.

🧵 TB-500 going into the PCAC:

---

Background.

TB-500 is a synthetic version of Thymosin Beta-4, a naturally occurring peptide involved in actin sequestration and tissue regeneration. The PCAC docket on July 23 evaluates TB-500 specifically for the wound healing indication.

Human data is sparse. The committee will weigh what's in the published literature, not what's in the online conversation.

---

Regulatory state:

TB-500 was on the Category 2 bulk substances list and was removed in April 2026 — same procedural move as BPC-157 and KPV.

The same ""manufacturing + safety, not efficacy"" framing applies.

---

What's actually being evaluated July 23:

The PCAC will review available data on TB-500 for wound healing and vote on whether to recommend inclusion on the 503A Bulks List.

If recommended AND if FDA follows the recommendation, state-licensed 503A pharmacies could compound TB-500 under physician prescription.

That's the entire ""yes"" path.

---

The repeated pattern across these three compounds (BPC-157, KPV, TB-500):

— All were on Category 2
— All removed in April 2026
— All on the same PCAC docket day (July 23)
— All under the same procedural framework
— All outcomes are non-binding recommendations

This isn't coincidence. It's a deliberate FDA strategy to clear a batch.

---

What doesn't change for any of these compounds:

— Not FDA-approved
— Not direct-to-consumer legal
— Not gray-market legal
— Not ""research only"" labeled with therapeutic claims legal

The compounding pathway is the only legal map. Physician + 503A pharmacy + valid prescription = the architecture.

---

""My body, not yours"" close:

The popularity of TB-500 in athletic recovery circles is real. The data on it is interesting. None of that is relevant to how it can be legally accessed in the United States.

The legal map is physician-supervised or illegal. There is no third option.

---

Monday: MOTs-C — same batch, obesity and osteoporosis indications, the same procedural framework continues.

Full regulatory tracker on Substack → https://doseofproof.substack.com/","","https://doseofproof.substack.com/","pre_launch,pcac,peptide,tb500,thymosin_beta4,wound_healing,503a_bulks_list","pcac_series","✅ FINAL — 03 Projects/Dose of Proof/assets/social/pcac-peptides/2026-07-03-tb-500.md","PCAC peptide series — TB-500 (3 of 7). July 23 docket — wound healing."
"2026-07-04","09:00","x","thread","The FDA docket does not pause for federal holidays.

MOTs-C is also on the July 23 PCAC docket — for obesity and osteoporosis indications.

Same procedural day as BPC-157, KPV, and TB-500. This is the fourth compound in the deliberate batch.

🧵 MOTs-C going into the PCAC, in the middle of the GLP-1 cultural moment:

---

Background.

MOTs-C is a mitochondrial-derived peptide (MDP) encoded in the mitochondrial genome. It's been studied for metabolic regulation, insulin sensitivity, and bone density in animal models.

It's a real molecule. The mechanism is interesting. The cultural moment around it is loud.

---

The GLP-1 context:

The popularity of semaglutide and tirzepatide has made every metabolic peptide a ""is this the next GLP-1?"" story. MOTs-C is no exception.

This is the trap: hype migrates from one mechanism to another faster than the regulatory process can catch up.

---

Regulatory state:

MOTs-C was on the Category 2 bulk substances list and was removed in April 2026 — same as the other three compounds in this PCAC batch.

The FDA's Category 2 concerns: manufacturing + safety characterization, not efficacy findings.

---

Indication #1 — Obesity.

The PCAC will review available data on MOTs-C for the obesity indication — metabolic regulation, body composition, weight-related outcomes.

The committee may vote on obesity separately from the osteoporosis indication, or bundle both votes. Watch the published PCAC agenda to see how the votes are structured.

---

Indication #2 — Osteoporosis.

Same compound, same docket day, different indication. The PCAC will separately review MOTs-C for bone-density and osteoporosis-related outcomes.

The evidentiary bar is identical to obesity: indication-specific data, not mechanism enthusiasm.

---

Voting structure (procedural note).

Two indications in one docket entry is unusual. The committee can vote them separately or as one bundled item. The published PCAC meeting agenda will confirm which.

Both votes are non-binding recommendations to the FDA. The agency then issues its own determination on 503A Bulks List inclusion — sometimes months later.

---

The data-versus-hype line:

Animal data on MOTs-C and metabolic regulation is suggestive. Human data is limited.

What you can do as a reader: separate ""the mechanism is interesting"" from ""this compound is approved for X."" Those statements are years of regulatory work apart.

---

What doesn't change for MOTs-C:

— Not FDA-approved
— Not direct-to-consumer legal
— Not gray-market legal
— Not ""research only"" labeled with therapeutic claims legal

The obesity + osteoporosis dual-indication review doesn't change the access architecture. Physician + 503A + prescription = the only legal map.

---

""My body, not yours"" close:

Metabolic dysfunction is real. The mechanism research on mitochondrial-derived peptides is genuinely interesting. Neither of those statements is advice.

My own data is mine: HRV, glucose trends, body composition, inflammatory markers. That's the map I track. What you do with yours is between you and your physician.

---

Next: Semax + DSIP + Epitalon — the July 24 docket. The cognitive and sleep-adjacent peptides. Different mechanism class, same procedural framework.

Full regulatory tracker on Substack → https://doseofproof.substack.com/","","https://doseofproof.substack.com/","pre_launch,pcac,peptide,motsc,obesity,osteoporosis,503a_bulks_list","pcac_series","✅ FINAL — 03 Projects/Dose of Proof/assets/social/pcac-peptides/2026-07-04-mots-c.md","PCAC peptide series — MOTs-C (4 of 7). July 4 — Saturday. July 23 docket — obesity + osteoporosis dual indication. 11-tweet thread."
"2026-07-05","09:00","x","thread","The July 24 PCAC docket opens with Semax — for cerebral ischemia indication.

The cognitive + sleep-adjacent peptides are a different mechanism class. Different regulatory considerations.

🧵 Semax going into the PCAC:

---

Background.

Semax is a synthetic heptapeptide analog of ACTH (4-10). It's been studied in Russian and European literature for neuroprotective, nootropic, and cerebrovascular effects.

It is NOT FDA-approved. It is not in Category 1. The mechanism class (CNS-active peptides) carries additional regulatory considerations.

---

Regulatory state:

Semax was on the Category 2 bulk substances list and was removed in April 2026 — same procedural move as the July 23 batch (BPC-157, KPV, TB-500, MOTs-C).

The Category 2 concerns: manufacturing + safety characterization. The CNS-active mechanism adds neurotoxicology and abuse-liability questions to the safety review.

---

What's actually being evaluated July 24:

The PCAC will review available data on Semax for cerebral ischemia indication (reduced blood flow to the brain, often post-stroke) and vote on whether to recommend inclusion on the 503A Bulks List.

Note: cerebral ischemia is a serious medical condition. The committee will weigh efficacy data, not just safety.

---

The non-binding nature applies here too:

PCAC ""yes"" = recommendation to FDA. FDA then considers and issues its own determination on 503A Bulks List inclusion. Months between recommendation and final action.

The procedural framework is identical to the July 23 batch. The committee composition may differ slightly.

---

What doesn't change for Semax:

— Not FDA-approved
— Not direct-to-consumer legal
— Not ""research only"" labeled with therapeutic claims legal
— CNS-active peptides carry additional FDA + DEA scrutiny in some contexts

The legal pathway, if the recommendation is followed: physician prescription + 503A compounding pharmacy.

---

""My body, not yours"" close:

Cognitive symptoms from chronic illness are real. CCI + MCAS wrecked my own cognition for months. None of that is the basis for self-experimenting with raw powders or unapproved compounds.

Data on what I've tracked in my own body — sleep continuity, mental clarity 1-10, HRV — is mine. What you do with yours is between you and your physician.

---

Tomorrow: Emideltide (DSIP) + Epitalon — also on the July 24 docket, sleep and cognitive-adjacent indications.

Full regulatory tracker on Substack → https://doseofproof.substack.com/","","https://doseofproof.substack.com/","pre_launch,pcac,peptide,semax,cerebral_ischemia,503a_bulks_list","pcac_series","✅ FINAL — 03 Projects/Dose of Proof/assets/social/pcac-peptides/2026-07-05-semax.md","PCAC peptide series — Semax (5 of 7). July 24 docket — cerebral ischemia indication."
"2026-07-06","09:00","x","thread","The July 24 PCAC docket closes with two more compounds: Emideltide (DSIP) and Epitalon.

Both sleep + cognitive-adjacent. Both from the same procedural batch.

🧵 The two final July 24 docket entries:

---

First: Emideltide (DSIP — Delta Sleep-Inducing Peptide).

DSIP is a nonapeptide first characterized in 1977 from rabbit cerebral venous blood during slow-wave sleep. It has been studied for sleep architecture, stress response, and pain modulation in animal models.

Mechanism class: neuromodulator peptide.

---

DSIP regulatory state:

Removed from Category 2 in April 2026. Same procedural move as the July 23 batch and the July 24 Semax entry.

The FDA will review DSIP for inclusion on the 503A Bulks List on July 24. Non-binding recommendation framework applies.

---

Second: Epitalon.

Epitalon is a synthetic tetrapeptide (Ala-Glu-Asp-Gly) originally characterized in pineal gland extract research. The PCAC will evaluate it as a substance against the same evidentiary bar as every other compound on the docket — manufacturing characterization, safety data, and indication-specific evidence.

The committee's job is substance review. Online reputation is not on the agenda.

---

Epitalon regulatory state:

Same as DSIP — removed from Category 2 in April 2026, under PCAC review July 24 for 503A Bulks List inclusion.

The longevity-claim reputation around Epitalon is what will generate most public attention. The committee's job is to assess manufacturing + safety + the actual evidence on the table. Those are different frames.

---

The pattern across all seven compounds in this PCAC batch:

— All were Category 2
— All removed in April 2026
— All under PCAC evaluation across two docket days (July 23-24)
— All outcomes are non-binding recommendations
— All under the same legal architecture: physician + 503A + prescription = the only legal map

---

What the cultural moment gets wrong:

Every compound in this batch has a loud online presence. BPC-157 in tissue repair. KPV in inflammatory bowel disease. TB-500 in athletic recovery. MOTs-C in metabolic dysfunction. Semax in cognitive optimization. DSIP in sleep. Epitalon in longevity.

The cultural moment is ahead of the regulatory process. Always.

---

What doesn't change for any of these seven:

— Not FDA-approved for any indication
— Not direct-to-consumer legal
— Not gray-market legal
— Not ""research only"" labeled with therapeutic claims legal

The map is physician-supervised or illegal. Skipping any step puts the operator in the FDA's enforcement lane.

---

""My body, not yours"" close:

Sleep architecture from CCI + MCAS was one of the hardest things to track in my own recovery. Sleep continuity hours, mental clarity 1-10, HRV at night — all on my daily log. None of those metrics is advice.

What you do with your own sleep data is between you and your physician. The compounds above are not the only lever.

---

Tomorrow: Regulatory recap — all seven compounds, the consolidated docket language, what changes if the votes go each way, and the hard pivot to the 5 Biomarkers lead magnet.

Full regulatory tracker on Substack → https://doseofproof.substack.com/","","https://doseofproof.substack.com/","pre_launch,pcac,peptide,dsip,emideltide,epitalon,sleep,circadian,503a_bulks_list","pcac_series","✅ FINAL — 03 Projects/Dose of Proof/assets/social/pcac-peptides/2026-07-06-dsip-epitalon.md","PCAC peptide series — DSIP + Epitalon combined (6 of 7). July 24 docket — sleep + longevity-adjacent."
